grad_cohort,cipcode_label,total_graduates
2001,"Liberal Arts/Sciences, G.S. & Humanities",604875
2001,"Business, Management, Marketing",476198
2001,Health Professions and Related Programs,373881
2001,Education,295499
2001,"Business Administration, Management and Operations",114631
2001,Engineering,112943
2001,Social Sciences,110145
2001,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",106197
2001,Computer and Information Sciences and Support Services,98292
2001,Psychology,83725
2001,Visual and Performing Arts,80953
2001,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",68369
2001,Engineering/Engineering-Related Technologies/Technicians,66617
2001,"Communication, Journalism, and Related Programs",66286
2001,Biological and Biomedical Sciences,65711
2001,"Psychology, General",58624
2001,English Language and Literature/Letters,54471
2001,"Practical Nursing, Vocational Nursing and Nursing Assistants",53301
2001,Public Administration and Social Service Professions,53128
2001,Criminal Justice and Corrections,52774
2004,"Business, Management, Marketing",281894
2004,Social Sciences,119731
2004,Education,101842
2004,"Business Administration, Management and Operations",83611
2004,"Liberal Arts/Sciences, G.S. & Humanities",82250
2004,Psychology,82120
2004,"Psychology, General",77783
2004,"Communication, Journalism, and Related Programs",75042
2004,Engineering,72736
2004,Health Professions and Related Programs,72511
2004,History,65836
2004,Visual and Performing Arts,64683
2004,Biological and Biomedical Sciences,63025
2004,"Teacher Education and Professional Development, Specific Levels and Methods",57303
2004,English Language and Literature/Letters,52091
2004,"Biology, General",46828
2004,"English Language and Literature, General",41381
2004,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",40734
2004,Marketing,39885
2004,Accounting and Related Services,39804
2006,"Liberal Arts/Sciences, G.S. & Humanities",827396
2006,Health Professions and Related Programs,512911
2006,"Business, Management, Marketing",345539
2006,Education,290669
2006,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",125013
2006,"Practical Nursing, Vocational Nursing and Nursing Assistants",87364
2006,Engineering,79430
2006,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",72669
2006,Computer and Information Sciences and Support Services,66506
2006,Legal Professions and Studies,64018
2006,"Business Administration, Management and Operations",63541
2006,Engineering/Engineering-Related Technologies/Technicians,62796
2006,Public Administration and Social Service Professions,62794
2006,"Allied Health Diagnostic, Intervention, and Treatment Professions",60585
2006,Mechanic and Repair Technologies/Technicians,55366
2006,Criminal Justice and Corrections,50448
2006,Visual and Performing Arts,48272
2006,Law,46767
2006,Family and Consumer Sciences/Human Sciences,37096
2006,Agricultural/Animal/Plant/Veterinary Science and Related Fields,35339
2007,"Business, Management, Marketing",311938
2007,Social Sciences,137928
2007,Education,107557
2007,Health Professions and Related Programs,99449
2007,Psychology,96756
2007,"Business Administration, Management and Operations",93972
2007,"Liberal Arts/Sciences, G.S. & Humanities",92932
2007,"Psychology, General",90178
2007,"Communication, Journalism, and Related Programs",83698
2007,Biological and Biomedical Sciences,82761
2007,Engineering,79075
2007,History,78364
2007,Visual and Performing Arts,74855
2007,"Biology, General",60367
2007,English Language and Literature/Letters,58599
2007,"Teacher Education and Professional Development, Specific Levels and Methods",57981
2007,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",56771
2007,Accounting and Related Services,49114
2007,"English Language and Literature, General",46256
2007,Political Science and Government,44103
2010,"Business, Management, Marketing",383314
2010,Social Sciences,166114
2010,Health Professions and Related Programs,148264
2010,Psychology,121201
2010,Education,119351
2010,"Business Administration, Management and Operations",118557
2010,"Liberal Arts/Sciences, G.S. & Humanities",115592
2010,"Psychology, General",113788
2010,Biological and Biomedical Sciences,105793
2010,"Communication, Journalism, and Related Programs",104318
2010,Engineering,100855
2010,Visual and Performing Arts,90568
2010,History,90392
2010,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",87606
2010,"Biology, General",75708
2010,English Language and Literature/Letters,64892
2010,"Teacher Education and Professional Development, Specific Levels and Methods",64797
2010,Accounting and Related Services,64775
2010,Communication and Media Studies,56771
2010,"English Language and Literature, General",54896
2011,"Liberal Arts/Sciences, G.S. & Humanities",1427583
2011,Health Professions and Related Programs,765356
2011,"Business, Management, Marketing",505646
2011,Education,345005
2011,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",163096
2011,"Practical Nursing, Vocational Nursing and Nursing Assistants",131303
2011,Computer and Information Sciences and Support Services,123651
2011,Engineering,116227
2011,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",114500
2011,Engineering/Engineering-Related Technologies/Technicians,106416
2011,"Business Administration, Management and Operations",104100
2011,Mechanic and Repair Technologies/Technicians,98495
2011,Public Administration and Social Service Professions,94126
2011,"Allied Health Diagnostic, Intervention, and Treatment Professions",84786
2011,Criminal Justice and Corrections,82373
2011,Legal Professions and Studies,73993
2011,Visual and Performing Arts,69687
2011,Vehicle Maintenance and Repair Technologies/Technicians,64015
2011,Allied Health and Medical Assisting Services,58703
2011,Psychology,50731
2013,"Business, Management, Marketing",391848
2013,Health Professions and Related Programs,204109
2013,Social Sciences,168609
2013,Psychology,139206
2013,"Psychology, General",130712
2013,"Business Administration, Management and Operations",125487
2013,Biological and Biomedical Sciences,125042
2013,Engineering,124071
2013,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",121183
2013,Education,114948
2013,"Communication, Journalism, and Related Programs",110587
2013,"Liberal Arts/Sciences, G.S. & Humanities",109232
2013,Visual and Performing Arts,93365
2013,"Biology, General",86843
2013,History,80756
2013,Accounting and Related Services,66951
2013,"Teacher Education and Professional Development, Specific Levels and Methods",61057
2013,English Language and Literature/Letters,61005
2013,Communication and Media Studies,60678
2013,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",59945
2016,"Liberal Arts/Sciences, G.S. & Humanities",1883360
2016,Health Professions and Related Programs,1048085
2016,"Business, Management, Marketing",996054
2016,Education,443091
2016,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing",301117
2016,Engineering,299478
2016,"Business Administration, Management and Operations",268011
2016,Computer and Information Sciences and Support Services,263265
2016,Social Sciences,210624
2016,Psychology,198894
2016,Biological and Biomedical Sciences,194133
2016,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",180641
2016,Visual and Performing Arts,163359
2016,"Psychology, General",143508
2016,"Communication, Journalism, and Related Programs",143446
2016,Engineering/Engineering-Related Technologies/Technicians,141668
2016,Criminal Justice and Corrections,140281
2016,Public Administration and Social Service Professions,138138
2016,Accounting and Related Services,112729
2016,Mechanic and Repair Technologies/Technicians,104577
